"year","zone","indicator","measure","value"
"2007","S01001790","Which Are Occupied","Count",318
"2007","S01001790","With Single Adult Discounts","Count",111
"2008","S01001790","With Single Adult Discounts","Count",111
"2011","S01001790","With 'Occupied Exemptions'","Count",5
"2010","S01001790","With 'Occupied Exemptions'","Count",8
"2009","S01001790","With Single Adult Discounts","Count",98
"2009","S01001790","Which Are Occupied","Count",316
"2010","S01001790","With Single Adult Discounts","Count",104
"2008","S01001790","With 'Occupied Exemptions'","Count",4
"2011","S01001790","With Single Adult Discounts","Count",100
"2013","S01001790","Which Are Occupied","Count",317
"2012","S01001790","With Single Adult Discounts","Count",105
"2012","S01001790","With 'Occupied Exemptions'","Count",6
"2013","S01001790","With Single Adult Discounts","Count",108
"2007","S01001790","With 'Occupied Exemptions'","Count",6
"2014","S01001790","With Single Adult Discounts","Count",106
"2011","S01001790","Which Are Vacant","Count",3
"2014","S01001790","With 'Occupied Exemptions'","Count",8
"2011","S01001790","Which Are Second Homes","Count",2
"2012","S01001790","Which Are Occupied","Count",316
"2010","S01001790","Which Are Vacant","Count",3
"2010","S01001790","Which Are Occupied","Count",315
"2014","S01001790","Which Are Second Homes","Count",2
"2014","S01001790","Which Are Vacant","Count",2
"2007","S01001790","Which Are Vacant","Count",3
"2008","S01001790","Which Are Vacant","Count",3
"2012","S01001790","Which Are Vacant","Count",4
"2008","S01001790","Which Are Second Homes","Count",1
"2013","S01001790","With 'Occupied Exemptions'","Count",8
"2007","S01001790","Which Are Second Homes","Count",1
"2013","S01001790","Which Are Vacant","Count",4
"2009","S01001790","Which Are Vacant","Count",0
"2010","S01001790","Total Dwellings","Count",321
"2014","S01001790","Total Dwellings","Count",321
"2013","S01001790","Total Dwellings","Count",323
"2009","S01001790","Total Dwellings","Count",320
"2008","S01001790","Total Dwellings","Count",322
"2011","S01001790","Total Dwellings","Count",321
"2012","S01001790","Total Dwellings","Count",321
"2007","S01001790","Total Dwellings","Count",322
"2009","S01001790","Which Are Second Homes","Count",4
"2013","S01001790","Which Are Second Homes","Count",2
"2008","S01001790","Which Are Occupied","Count",318
"2014","S01001790","Which Are Occupied","Count",317
"2010","S01001790","Which Are Second Homes","Count",3
"2011","S01001790","Which Are Occupied","Count",316
"2009","S01001790","With 'Occupied Exemptions'","Count",7
"2012","S01001790","Which Are Second Homes","Count",1
"2009","S01001790","Which Are Occupied","Ratio",99
"2010","S01001790","Which Are Occupied","Ratio",98
"2013","S01001790","Which Are Occupied","Ratio",98
"2008","S01001790","Which Are Occupied","Ratio",99
"2011","S01001790","Which Are Occupied","Ratio",98
"2014","S01001790","Which Are Occupied","Ratio",99
"2007","S01001790","Which Are Occupied","Ratio",99
"2012","S01001790","Which Are Occupied","Ratio",98
"2008","S01001790","With 'Occupied Exemptions'","Ratio",1
"2010","S01001790","With 'Occupied Exemptions'","Ratio",3
"2007","S01001790","With 'Occupied Exemptions'","Ratio",2
"2012","S01001790","With 'Occupied Exemptions'","Ratio",2
